Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Julius Randle,26,15,15,557,7.9,16.4,0.484,1.4,4,0.355,6.5,12.4,0.526,4.8,6.2,0.771,1.4,9.3,10.7,5.9,0.7,0.2,3.5,3.3,22.1
2,RJ Barrett,20,15,15,556,6.1,15.4,0.395,0.9,4.2,0.215,5.2,11.2,0.462,3.6,4.7,0.753,1.6,5.8,7.4,3.3,0.8,0.3,1.8,2.1,16.6
3,Mitchell Robinson,22,15,15,450,4.6,7.2,0.644,0,0,,4.6,7.2,0.644,0.9,2,0.44,4.6,5.3,9.9,0.6,1.7,2.2,0.9,3.3,10.2
4,Elfrid Payton,26,15,15,436,6.9,15.3,0.449,0.7,2.4,0.31,6.1,12.9,0.474,1.8,2.6,0.688,1.7,3.4,5.1,5,0.8,0.2,2.8,2.6,16.3
5,Reggie Bullock,29,13,13,376,4.1,10.6,0.387,1.9,6,0.317,2.2,4.6,0.479,0.7,1,0.7,0.5,5,5.5,1.6,1,0.2,1.1,3.1,10.8
6,Kevin Knox,21,15,0,307,4.7,11.3,0.417,2.7,6.4,0.418,2,4.8,0.415,0.9,1.2,0.8,0.8,3.8,4.6,1.5,0.7,0.7,1.6,2.9,13
7,Austin Rivers,28,11,2,281,4.7,11.3,0.42,2.6,6.5,0.392,2.2,4.7,0.459,0.3,0.5,0.5,0.4,3.6,4,3.5,0.6,0,1.8,2.7,12.3
8,Nerlens Noel,26,13,0,198,3.1,5.6,0.548,0,0.2,0,3.1,5.5,0.567,0.7,1.3,0.571,2.9,7.1,10,0.7,2.2,4,2.9,4.5,6.9
9,Immanuel Quickley,21,11,0,197,6.8,16.8,0.402,2.4,6.9,0.342,4.4,9.9,0.444,4.2,4.4,0.958,0.2,3.1,3.3,5.3,1.3,0.7,1.8,4.2,20.1
10,Alec Burks,29,3,0,83,7.4,13.9,0.531,4.3,6.5,0.667,3,7.4,0.412,7.8,8.7,0.9,0,4.8,4.8,4.8,1.3,0.9,3,4.3,26.9
11,Obi Toppin,22,5,0,60,5.4,15,0.36,3,8.4,0.357,2.4,6.6,0.364,1.2,1.2,1,0.6,7.2,7.8,2.4,1.2,1.8,1.2,1.2,15
12,Frank Ntilikina,22,4,0,42,5.1,12,0.429,4.3,7.7,0.556,0.9,4.3,0.2,0.9,2.6,0.333,0.9,2.6,3.4,2.6,2.6,0,1.7,6,15.4
13,Dennis Smith,23,3,0,28,2.6,12.9,0.2,0,5.1,0,2.6,7.7,0.333,6.4,7.7,0.833,0,2.6,2.6,3.9,3.9,0,1.3,5.1,11.6
14,Theo Pinson,25,6,0,16,0,11.3,0,0,11.3,0,0,0,,0,0,,0,2.3,2.3,0,0,0,0,4.5,0
15,Ignas Brazdeikis,22,4,0,7,0,5.1,0,0,0,,0,5.1,0,10.3,10.3,1,5.1,5.1,10.3,5.1,0,0,5.1,0,10.3
16,Jared Harper,23,2,0,5,0,7.2,0,0,0,,0,7.2,0,14.4,14.4,1,0,0,0,0,0,0,14.4,0,14.4